case,round,flow,method,input_bytes,encoded_stream_payload_bytes,reconstructed_bytes,client_completion_ms,connection_plus_application_completion_ms,client_ttfb_ms,encoded_goodput_mbps,reconstructed_goodput_mbps,reconstruction_ok,congestion_control_algorithm,application_stream_id,encoded_goodput_jain_fairness,pair_qdisc_bytes,pair_qdisc_packets,pair_qdisc_drops,case_execution_order
raw-redulink,14,B,redulink,8388608,833610,8388608,1627.932,1861.855,132.609,4.096535,41.223383,True,reno,0,0.899583,1866748,2466,17,2
raw-raw,14,A,raw,833536,833536,833536,1394.036,1443.539,44.811,4.78344,4.78344,True,reno,0,0.932924,1860494,2397,12,3
raw-raw,14,B,raw,833536,833536,833536,2415.534,2465.806,45.463,2.760585,2.760585,True,reno,0,0.932924,1860494,2397,12,3
raw-redulink,15,A,raw,833536,833536,833536,3062.144,3341.287,88.381,2.177653,2.177653,True,reno,0,0.906617,1862163,2407,16,1
raw-redulink,15,B,redulink,8388608,833610,8388608,1574.311,1808.581,132.311,4.236063,42.62745,True,reno,0,0.906617,1862163,2407,16,1
raw-raw,15,A,raw,833536,833536,833536,1703.359,1753.792,44.968,3.914787,3.914787,True,reno,0,0.994955,1856855,2350,9,2
raw-raw,15,B,raw,833536,833536,833536,1476.905,1526.474,45.554,4.515042,4.515042,True,reno,0,0.994955,1856855,2350,9,2
redulink-redulink,15,A,redulink,8388608,833610,8388608,3066.996,3535.746,180.662,2.174401,21.880975,True,reno,0,0.834408,1863845,2400,10,3
redulink-redulink,15,B,redulink,8388608,833610,8388608,1176.567,1600.271,204.6,5.668084,57.03786,True,reno,0,0.834408,1863845,2400,10,3
raw-raw,16,A,raw,833536,833536,833536,1695.35,1745.898,45.493,3.933281,3.933281,True,reno,0,0.999528,1858262,2367,16,1
raw-raw,16,B,raw,833536,833536,833536,1623.248,1672.894,45.555,4.107991,4.107991,True,reno,0,0.999528,1858262,2367,16,1
redulink-redulink,16,A,redulink,8388608,833610,8388608,1379.218,1805.122,204.949,4.835262,48.657184,True,reno,0,0.93221,1863532,2392,12,2
redulink-redulink,16,B,redulink,8388608,833610,8388608,2397.735,2868.48,181.085,2.781325,27.988441,True,reno,0,0.93221,1863532,2392,12,2
raw-redulink,16,A,raw,833536,833536,833536,2436.361,2716.225,88.436,2.736987,2.736987,True,reno,0,0.997076,1865282,2448,16,3
raw-redulink,16,B,redulink,8388608,833610,8388608,2186.219,2420.437,133.141,3.050417,30.696314,True,reno,0,0.997076,1865282,2448,16,3
