object,role,stream_id,input_bytes,initial_ref_frames,initial_full_frames,semantic_misses,repair_full_frames,forward_protocol_stream_bytes,reverse_repair_control_stream_bytes,measurement_control_stream_bytes_excluded,diagnostic_stats_stream_bytes_excluded,client_ttfb_from_session_ms,client_completion_from_session_ms,client_stream_duration_ms,server_completion_ms,reconstruction_ok,tls_exporter_live,tls_exporter_outputs_match,sender_drain_batch_bytes,mode,round,execution_order
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1135,4794.344,4845.317,96.184,49.908,True,True,True,65536,sequential,18,1
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1136,4890.389,4941.718,96.116,50.455,True,True,True,65536,sequential,18,1
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1135,4986.488,5037.986,96.116,50.51,True,True,True,65536,sequential,18,1
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1137,5082.874,5134.319,96.147,50.475,True,True,True,65536,sequential,18,1
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1156,649.232,6676.787,6628.673,6516.204,True,True,True,65536,multiplexed,18,2
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1138,161.449,354.301,247.801,165.499,True,True,True,65536,multiplexed,18,2
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1138,162.612,372.677,263.755,186.658,True,True,True,65536,multiplexed,18,2
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1139,163.643,367.561,256.37,176.377,True,True,True,65536,multiplexed,18,2
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1140,204.138,373.599,260.352,180.855,True,True,True,65536,multiplexed,18,2
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,664.145,4293.515,4245.555,4133.124,True,True,True,65536,multiplexed,19,1
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1138,161.295,355.171,248.839,164.597,True,True,True,65536,multiplexed,19,1
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1138,162.481,378.416,269.651,187.515,True,True,True,65536,multiplexed,19,1
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1139,163.44,368.483,257.467,178.385,True,True,True,65536,multiplexed,19,1
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1140,203.942,373.492,260.427,181.956,True,True,True,65536,multiplexed,19,1
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,618.311,3446.177,3397.737,3284.229,True,True,True,65536,sequential,19,2
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1136,3493.16,3544.05,96.14,49.872,True,True,True,65536,sequential,19,2
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1132,3589.06,3640.604,96.352,50.5,True,True,True,65536,sequential,19,2
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1137,3685.528,3737.042,96.24,50.521,True,True,True,65536,sequential,19,2
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1137,3782.177,3833.571,96.327,50.435,True,True,True,65536,sequential,19,2
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,618.179,5784.882,5736.508,5623.212,True,True,True,65536,sequential,20,1
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1136,5831.761,5915.634,128.873,82.886,True,True,True,65536,sequential,20,1
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1135,5960.84,6023.271,107.395,61.405,True,True,True,65536,sequential,20,1
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1135,6068.01,6129.122,105.625,59.93,True,True,True,65536,sequential,20,1
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1137,6174.153,6228.812,99.458,53.751,True,True,True,65536,sequential,20,1
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,758.698,5756.636,5708.265,5594.365,True,True,True,65536,multiplexed,20,2
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1138,163.642,358.427,250.369,164.719,True,True,True,65536,multiplexed,20,2
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1138,164.715,381.766,271.125,188.839,True,True,True,65536,multiplexed,20,2
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1139,165.728,453.023,340.005,179.343,True,True,True,65536,multiplexed,20,2
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1138,206.047,383.028,267.903,183.11,True,True,True,65536,multiplexed,20,2
