object,role,stream_id,input_bytes,initial_ref_frames,initial_full_frames,semantic_misses,repair_full_frames,forward_protocol_stream_bytes,reverse_repair_control_stream_bytes,measurement_control_stream_bytes_excluded,diagnostic_stats_stream_bytes_excluded,client_ttfb_from_session_ms,client_completion_from_session_ms,client_stream_duration_ms,server_completion_ms,reconstruction_ok,tls_exporter_live,tls_exporter_outputs_match,sender_drain_batch_bytes,mode,round,execution_order
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1156,809.821,5441.314,5392.615,5278.603,True,True,True,65536,multiplexed,4,2
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1138,163.562,363.055,254.629,168.067,True,True,True,65536,multiplexed,4,2
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1138,164.763,521.173,410.219,321.263,True,True,True,65536,multiplexed,4,2
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1139,166.175,382.253,268.532,185.584,True,True,True,65536,multiplexed,4,2
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1139,206.375,487.825,372.034,315.447,True,True,True,65536,multiplexed,4,2
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,684.69,5422.195,5373.68,5260.141,True,True,True,65536,multiplexed,5,1
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1138,163.154,357.066,249.176,164.645,True,True,True,65536,multiplexed,5,1
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1138,164.316,381.415,270.928,187.887,True,True,True,65536,multiplexed,5,1
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1138,165.325,366.341,253.473,178.386,True,True,True,65536,multiplexed,5,1
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1138,205.649,382.488,267.542,181.93,True,True,True,65536,multiplexed,5,1
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1155,647.243,4121.028,4072.39,3958.16,True,True,True,65536,sequential,5,2
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1136,4167.591,4222.322,99.497,53.709,True,True,True,65536,sequential,5,2
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1136,4267.376,4321.976,99.382,53.732,True,True,True,65536,sequential,5,2
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1137,4367.15,4420.492,98.291,52.343,True,True,True,65536,sequential,5,2
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1137,4465.524,4520.151,99.428,53.614,True,True,True,65536,sequential,5,2
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,617.915,5394.362,5345.794,5232.618,True,True,True,65536,sequential,6,1
