payload,rate_mbps,rtt_ms,loss_every,round,method,input_bytes,encoded_stream_payload_bytes,reconstructed_bytes,completion_ms_measured,reconstructed_rate_mbps_measured,encoded_rate_mbps_measured,reconstruction_ok,semantic_misses,mean_queue_delay_ms,max_queue_delay_ms,emulation
demo,5.0,20.0,0,14,raw-quic-stream,98304,98304,98304,830.52,0.946915,0.946915,True,0,14.625,51.009,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,14,redulink-binary-quic-stream,98304,30817,98304,939.914,0.836706,0.262296,True,13,14.625,51.009,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,15,raw-quic-stream,98304,98304,98304,796.248,0.987672,0.987672,True,0,14.046,48.738,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,15,redulink-binary-quic-stream,98304,30817,98304,877.038,0.896691,0.281101,True,13,14.046,48.738,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,16,raw-quic-stream,98304,98304,98304,830.64,0.946778,0.946778,True,0,14.635,50.93,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,16,redulink-binary-quic-stream,98304,30818,98304,930.15,0.845489,0.265058,True,13,14.635,50.93,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,17,raw-quic-stream,98304,98304,98304,831.089,0.946267,0.946267,True,0,14.571,51.035,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,17,redulink-binary-quic-stream,98304,30817,98304,922.48,0.852519,0.267253,True,13,14.571,51.035,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,18,raw-quic-stream,98304,98304,98304,782.121,1.005512,1.005512,True,0,14.033,49.036,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,18,redulink-binary-quic-stream,98304,30817,98304,870.113,0.903827,0.283338,True,13,14.033,49.036,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,19,raw-quic-stream,98304,98304,98304,1348.978,0.582984,0.582984,True,0,19.429,82.328,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,19,redulink-binary-quic-stream,98304,30818,98304,1018.501,0.772147,0.242066,True,13,19.429,82.328,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,20,raw-quic-stream,98304,98304,98304,785.317,1.00142,1.00142,True,0,14.053,49.175,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
