payload,rate_mbps,rtt_ms,loss_every,round,method,input_bytes,encoded_stream_payload_bytes,reconstructed_bytes,completion_ms_measured,reconstructed_rate_mbps_measured,encoded_rate_mbps_measured,reconstruction_ok,semantic_misses,mean_queue_delay_ms,max_queue_delay_ms,emulation
redis,5.0,20.0,0,14,raw-quic-stream,524288,524288,524288,2154.777,1.946514,1.946514,True,0,31.568,104.093,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,20.0,0,14,redulink-binary-quic-stream,524288,136756,524288,2070.732,2.025518,0.528339,True,72,31.568,104.093,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,20.0,0,15,raw-quic-stream,524288,524288,524288,2102.355,1.99505,1.99505,True,0,29.877,93.353,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,20.0,0,15,redulink-binary-quic-stream,524288,136756,524288,1945.445,2.155961,0.562364,True,72,29.877,93.353,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,20.0,0,16,raw-quic-stream,524288,524288,524288,1994.377,2.103065,2.103065,True,0,25.071,90.767,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,20.0,0,16,redulink-binary-quic-stream,524288,136756,524288,1681.149,2.494903,0.650774,True,72,25.071,90.767,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,20.0,0,17,raw-quic-stream,524288,524288,524288,2150.088,1.950759,1.950759,True,0,31.614,103.902,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,20.0,0,17,redulink-binary-quic-stream,524288,136756,524288,2070.879,2.025374,0.528301,True,72,31.614,103.902,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,20.0,0,18,raw-quic-stream,524288,524288,524288,2149.78,1.951039,1.951039,True,0,31.827,105.789,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,20.0,0,18,redulink-binary-quic-stream,524288,136756,524288,2090.778,2.006097,0.523273,True,72,31.827,105.789,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,20.0,0,19,raw-quic-stream,524288,524288,524288,2028.254,2.067938,2.067938,True,0,28.371,92.382,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,20.0,0,19,redulink-binary-quic-stream,524288,136756,524288,1979.159,2.119235,0.552784,True,72,28.371,92.382,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,20.0,0,20,raw-quic-stream,524288,524288,524288,2129.245,1.969855,1.969855,True,0,30.801,96.478,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,20.0,0,20,redulink-binary-quic-stream,524288,136756,524288,1882.583,2.227952,0.581142,True,72,30.801,96.478,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,1,raw-quic-stream,524288,524288,524288,3877.794,1.081621,1.081621,True,0,60.02,254.228,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,1,redulink-binary-quic-stream,524288,136756,524288,4743.751,0.884175,0.230629,True,72,60.02,254.228,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,2,raw-quic-stream,524288,524288,524288,2512.186,1.669583,1.669583,True,0,32.96,168.297,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,2,redulink-binary-quic-stream,524288,136756,524288,3386.473,1.238546,0.323064,True,72,32.96,168.297,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,3,raw-quic-stream,524288,524288,524288,3854.985,1.088021,1.088021,True,0,60.165,263.104,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,3,redulink-binary-quic-stream,524288,136756,524288,4860.863,0.862872,0.225073,True,72,60.165,263.104,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,4,raw-quic-stream,524288,524288,524288,3883.76,1.07996,1.07996,True,0,60.096,253.641,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,4,redulink-binary-quic-stream,524288,136756,524288,4733.775,0.886038,0.231115,True,72,60.096,253.641,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,5,raw-quic-stream,524288,524288,524288,2475.018,1.694656,1.694656,True,0,32.251,166.366,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,5,redulink-binary-quic-stream,524288,136756,524288,3350.273,1.251929,0.326555,True,72,32.251,166.366,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,6,raw-quic-stream,524288,524288,524288,2479.992,1.691257,1.691257,True,0,32.257,166.917,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,6,redulink-binary-quic-stream,524288,136756,524288,3358.966,1.248689,0.32571,True,72,32.257,166.917,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,7,raw-quic-stream,524288,524288,524288,3815.798,1.099194,1.099194,True,0,59.269,249.76,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,7,redulink-binary-quic-stream,524288,136756,524288,4656.242,0.900792,0.234964,True,72,59.269,249.76,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,8,raw-quic-stream,524288,524288,524288,3880.298,1.080923,1.080923,True,0,60.384,257.182,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,8,redulink-binary-quic-stream,524288,136756,524288,4518.851,0.928179,0.242108,True,72,60.384,257.182,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,9,raw-quic-stream,524288,524288,524288,2419.848,1.733292,1.733292,True,0,30.699,164.487,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,80.0,0,9,redulink-binary-quic-stream,524288,136756,524288,3308.929,1.267571,0.330635,True,72,30.699,164.487,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
