payload_blocks,input_bytes,input_mib,round,execution_order,method,client_completion_ms,combined_endpoint_process_cpu_ms,combined_endpoint_process_cpu_ms_per_mib,reconstructed_throughput_mib_s,encoded_stream_payload_bytes,stream_payload_multiplier,client_ttfb_ms,reconstruction_ok,congestion_control_algorithm,tls_exporter_live,tls_exporter_outputs_match
1024,1048576,1.0,1,2,redulink-binary-quic-stream,36.229,36.055,36.055,27.602197,109642,9.563634,22.133,True,reno,True,True
1024,1048576,1.0,2,1,redulink-binary-quic-stream,35.175,35.013,35.013,28.429282,109642,9.563634,21.663,True,reno,True,True
1024,1048576,1.0,2,2,raw-quic-stream,37.633,36.933,36.933,26.572423,1048576,1.0,6.311,True,reno,not-applicable,not-applicable
1024,1048576,1.0,3,1,raw-quic-stream,38.447,37.763,37.763,26.009832,1048576,1.0,6.535,True,reno,not-applicable,not-applicable
1024,1048576,1.0,3,2,redulink-binary-quic-stream,36.027,35.847,35.847,27.75696,109642,9.563634,22.032,True,reno,True,True
1024,1048576,1.0,4,1,redulink-binary-quic-stream,37.1,36.852,36.852,26.954178,109642,9.563634,22.628,True,reno,True,True
1024,1048576,1.0,4,2,raw-quic-stream,39.923,39.327,39.327,25.048218,1048576,1.0,6.915,True,reno,not-applicable,not-applicable
1024,1048576,1.0,5,1,raw-quic-stream,39.997,39.311,39.311,25.001875,1048576,1.0,7.273,True,reno,not-applicable,not-applicable
1024,1048576,1.0,5,2,redulink-binary-quic-stream,35.956,35.765,35.765,27.81177,109642,9.563634,22.234,True,reno,True,True
1024,1048576,1.0,6,1,redulink-binary-quic-stream,36.957,36.724,36.724,27.058473,109642,9.563634,22.574,True,reno,True,True
1024,1048576,1.0,6,2,raw-quic-stream,40.131,39.332,39.332,24.918392,1048576,1.0,6.979,True,reno,not-applicable,not-applicable
1024,1048576,1.0,7,1,raw-quic-stream,39.373,38.709,38.709,25.398115,1048576,1.0,6.524,True,reno,not-applicable,not-applicable
1024,1048576,1.0,7,2,redulink-binary-quic-stream,37.145,36.923,36.923,26.921524,109642,9.563634,22.838,True,reno,True,True
1024,1048576,1.0,8,1,redulink-binary-quic-stream,35.279,35.114,35.114,28.345475,109642,9.563634,21.669,True,reno,True,True
1024,1048576,1.0,8,2,raw-quic-stream,38.424,37.768,37.768,26.025401,1048576,1.0,6.534,True,reno,not-applicable,not-applicable
