payload,payload_note,round,method,input_bytes,encoded_stream_payload_bytes,reconstructed_bytes,completion_ms_measured,reconstructed_rate_mbps_measured,encoded_rate_mbps_measured,reconstruction_ok,semantic_misses,repair_full_frames,emulation,rate_mbps,rtt_ms,loss_percent
demo,constructed byte-stable demo,14,raw-quic-stream,98304,98304,98304,986.335,0.797327,0.797327,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,14,redulink-binary-quic-stream,98304,30818,98304,1369.779,0.574131,0.179988,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,15,raw-quic-stream,98304,98304,98304,960.078,0.819133,0.819133,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,15,redulink-binary-quic-stream,98304,30818,98304,1357.6,0.579281,0.181603,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,16,raw-quic-stream,98304,98304,98304,693.369,1.134219,1.134219,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,16,redulink-binary-quic-stream,98304,30818,98304,1288.907,0.610154,0.191281,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,17,raw-quic-stream,98304,98304,98304,987.573,0.796328,0.796328,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,17,redulink-binary-quic-stream,98304,30818,98304,1427.633,0.550864,0.172694,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,18,raw-quic-stream,98304,98304,98304,824.217,0.954156,0.954156,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,18,redulink-binary-quic-stream,98304,30818,98304,1372.643,0.572933,0.179613,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,19,raw-quic-stream,98304,98304,98304,829.756,0.947787,0.947787,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,19,redulink-binary-quic-stream,98304,30818,98304,1360.648,0.577983,0.181196,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,20,raw-quic-stream,98304,98304,98304,910.371,0.863859,0.863859,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,20,redulink-binary-quic-stream,98304,30818,98304,1373.501,0.572575,0.1795,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,1,raw-quic-stream,98304,98304,98304,322.489,2.438632,2.438632,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,1,redulink-binary-quic-stream,98304,30817,98304,321.122,2.449013,0.767733,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,2,raw-quic-stream,98304,98304,98304,310.078,2.536239,2.536239,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,2,redulink-binary-quic-stream,98304,30817,98304,332.23,2.367131,0.742064,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,3,raw-quic-stream,98304,98304,98304,324.37,2.424491,2.424491,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,3,redulink-binary-quic-stream,98304,30817,98304,333.427,2.358633,0.7394,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,4,raw-quic-stream,98304,98304,98304,315.659,2.491397,2.491397,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,4,redulink-binary-quic-stream,98304,30817,98304,348.606,2.255934,0.707205,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,5,raw-quic-stream,98304,98304,98304,331.239,2.374213,2.374213,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,5,redulink-binary-quic-stream,98304,30817,98304,354.972,2.215476,0.694522,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,6,raw-quic-stream,98304,98304,98304,339.21,2.318422,2.318422,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,6,redulink-binary-quic-stream,98304,30817,98304,359.55,2.187267,0.685679,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,7,raw-quic-stream,98304,98304,98304,311.141,2.527574,2.527574,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,7,redulink-binary-quic-stream,98304,30817,98304,327.794,2.399165,0.752107,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,8,raw-quic-stream,98304,98304,98304,324.244,2.425433,2.425433,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,8,redulink-binary-quic-stream,98304,30817,98304,357.7,2.19858,0.689226,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,9,raw-quic-stream,98304,98304,98304,331.764,2.370456,2.370456,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,9,redulink-binary-quic-stream,98304,30817,98304,356.476,2.206129,0.691592,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,10,raw-quic-stream,98304,98304,98304,330.731,2.37786,2.37786,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,10,redulink-binary-quic-stream,98304,30817,98304,349.688,2.248953,0.705017,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,11,raw-quic-stream,98304,98304,98304,333.373,2.359015,2.359015,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,11,redulink-binary-quic-stream,98304,30817,98304,381.924,2.059132,0.645511,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,12,raw-quic-stream,98304,98304,98304,329.267,2.388432,2.388432,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,12,redulink-binary-quic-stream,98304,30817,98304,336.727,2.335518,0.732154,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,13,raw-quic-stream,98304,98304,98304,325.07,2.41927,2.41927,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,13,redulink-binary-quic-stream,98304,30817,98304,380.462,2.067045,0.647991,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,14,raw-quic-stream,98304,98304,98304,328.436,2.394476,2.394476,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
demo,constructed byte-stable demo,14,redulink-binary-quic-stream,98304,30817,98304,356.812,2.204051,0.690941,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
