label,workload,old_path,new_path,old_bytes,new_bytes,old_sha256,new_sha256,chunker,chunk_size,redulink_wire_bytes,redulink_multiplier,redulink_reconstruction_ok,secure_wire_bytes,secure_multiplier,secure_reconstruction_ok,fixed_block_reuse_wire_bytes,fixed_block_reuse_multiplier,redulink_elapsed_ms,secure_elapsed_ms
scripted-disk-snapshot,scripted-disk-snapshot,data/journal_corpora/scripted-disk-snapshot/warm.bin,data/journal_corpora/scripted-disk-snapshot/update.bin,1048576,1048576,94a40e4679c1e10ec072ff65cbdfeef8391323c0a9fb8ee69fb7c03ada5cd35f,ebd919ea47627afdd4f72381283114add45c48207423fa5727678329bf0bf04f,fixed,4096,36808,28.487720,True,43008,24.380952,True,36864,28.444444,7.268,13.932
scripted-oci-layer,scripted-oci-layer,data/journal_corpora/scripted-oci-layer/warm.bin,data/journal_corpora/scripted-oci-layer/update.bin,296960,296960,8d87c48d6ce130ad37794d46ea119fd65c5a5ad52c8636eca6338752f98a06a2,336d88e11249a1504a239c7d8df9be2ab0edf0d150d605b449c4ccf136fa7c37,fixed,4096,26864,11.054199,True,28664,10.360033,True,26912,11.034483,1.117,2.599
scripted-package-metadata,scripted-package-metadata,data/journal_corpora/scripted-package-metadata/warm.bin,data/journal_corpora/scripted-package-metadata/update.bin,526191,526287,9f8065b110753df35988e2030cf787a64c5ccbc6fdcc004f5e41327ed9b3c621,6f76dcc1c08f4e8fef059f5456addf389442698def7085dc8c780d6eba3769e4,fixed,4096,529383,0.994152,True,533511,0.986460,True,530415,0.992217,2.515,6.455
scripted-repository-snapshot,scripted-repository-snapshot,data/journal_corpora/scripted-repository-snapshot/warm.bin,data/journal_corpora/scripted-repository-snapshot/update.bin,501760,501760,28837d91ab6595763111c6e91584858473110a364d195d0bafeca5cd68e35a81,3d63f3774dd9d0203c60eeab9293b02756b046e6cf5ee34cba30cebf3bd3a772,fixed,4096,20288,24.731861,True,23272,21.560674,True,20320,24.692913,1.764,4.221
scripted-structured-logs,scripted-structured-logs,data/journal_corpora/scripted-structured-logs/warm.bin,data/journal_corpora/scripted-structured-logs/update.bin,4267340,4267415,6f66edabb03dcfddc707cffc72b318d27c0882b3c7e8c4e3a6f0ebd970b6dfee,07a3afe4fc6796d1329b1289e1bc84e106a91b9cb8e576c6d7a351856fcbc54b,fixed,4096,4292423,0.994174,True,4325767,0.986511,True,4300759,0.992247,31.582,63.833
independent-compressed-negative,independent-compressed-negative,data/journal_corpora/independent-compressed-negative/warm.bin,data/journal_corpora/independent-compressed-negative/update.bin,262242,262242,e746d56612762f86f02c199cf588a4ebd7e8f479dcefa15cfc8395c2eb2301d6,b3c7aa366694a35c9e4d7af6c1873f64a30ab1d9915f0bd871171d943173325c,fixed,4096,263802,0.994086,True,265882,0.986310,True,264322,0.992131,1.120,3.297
