family,artifact,mode,chunker,method,input_bytes,wire_bytes,saving_rate,effective_multiplier,chunks,full_frames,ref_frames,reconstruction_ok,comparable,cpu_ms,throughput_mib_s,peak_kib,notes
public-artifact,redis-readme,warm-update-like,cdc,redulink,23845,15236,0.361040,1.565043,5,3,2,True,True,18.408,1.235,34032.0,
public-artifact,redis-readme,warm-update-like,cdc,gzip-then-redulink,9072,9144,0.000000,0.992126,3,3,0,True,True,7.128,1.214,34032.0,ReduLink applied after gzip compression
public-artifact,redis-readme,warm-update-like,cdc,redulink-then-gzip,23845,6265,0.737261,3.806065,5,3,2,True,False,20.295,1.120,34032.0,gzip applied to modeled ReduLink frame stream
public-artifact,redis-readme,warm-update-like,cdc,zstd-then-redulink,9370,9418,0.000000,0.994903,2,2,0,True,True,6.851,1.304,34032.0,ReduLink applied after zstd compression
public-artifact,ietf-quic-rfc,single-object,none,raw,126175,126175,0.000000,1.000000,0,0,0,True,True,,,,
public-artifact,ietf-quic-rfc,single-object,none,gzip-6,126175,39177,0.689503,3.220640,0,0,0,True,True,6.256,19.235,34032.0,
public-artifact,ietf-quic-rfc,single-object,none,zstd-3,126175,40447,0.679437,3.119514,0,0,0,True,True,28.945,4.157,34032.0,
public-artifact,ietf-quic-rfc,warm-update-like,fixed,fixed-block-reuse,126175,126195,0.000000,0.999842,1,1,0,True,True,39.246,3.066,34032.0,fixed-block reuse approximation against warm artifact; not wire-compatible rsync
public-artifact,ietf-quic-rfc,cold-intra-artifact,fixed,redulink,126175,126559,0.000000,0.996966,16,16,0,True,True,0.356,337.847,34032.0,
public-artifact,ietf-quic-rfc,warm-update-like,fixed,redulink,126175,126559,0.000000,0.996966,16,16,0,True,True,1.002,120.145,34032.0,
public-artifact,ietf-quic-rfc,cold-intra-artifact,cdc,redulink,126175,126487,0.000000,0.997533,13,13,0,True,True,31.810,3.783,34032.0,
public-artifact,ietf-quic-rfc,warm-update-like,cdc,redulink,126175,126487,0.000000,0.997533,13,13,0,True,True,244.857,0.491,34048.0,
public-artifact,ietf-quic-rfc,warm-update-like,cdc,gzip-then-redulink,39177,39321,0.000000,0.996338,6,6,0,True,True,65.952,0.567,34048.0,ReduLink applied after gzip compression
public-artifact,ietf-quic-rfc,warm-update-like,cdc,redulink-then-gzip,126175,39680,0.685516,3.179814,13,13,0,True,False,270.400,0.445,34064.0,gzip applied to modeled ReduLink frame stream
public-artifact,ietf-quic-rfc,warm-update-like,cdc,zstd-then-redulink,40447,40591,0.000000,0.996452,6,6,0,True,True,71.719,0.538,34064.0,ReduLink applied after zstd compression
